Address,City,State,Zipcode,AUTO_UNIQUE_ID_2023-10-11_caitlindatakindorg_ListofProvider,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,NaaccrCertCode2020,NaaccrCertType2020,GeoLocationID2020,CensusBlock2020,CensusBlockGroup2020,CensusTract2020,CensusCountyFips2020,CensusCbsaFips2020,CensusCbsaMicro2020,CensusMcdFips2020,CensusMetDivFips2020,CensusMsaFips2020,CensusPlaceFips2020,CensusStateFips2020,FNumber,FNumberFractional,FPreDirectional,FPreQualifier,FPreType,FPreArticle,FName,FPostArticle,FSuffix,FPostQualifier,FPostDirectional,FSuiteType,FSuiteNumber,FPostOfficeBoxType,FPostOfficeBoxNumber,FCity,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FArea,FAreaType,FGeometrySRID,FGeometry,FSource,FVintage,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
23 N WEKIWA SPRINGS RD,,,32703,1,d37c4556-e95d-4fe0-8129-d0f47fed3270,0.7968692,TAMUGeocoder,5.0.0,1,,28.6787119545344,-81.4679658864555,,StreetSegment,Match,100,,2055.25,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950178082,2002,2,0178.08,095,36740,0,90052,,5960,,12,23-105,,N,,,,Wekiwa Springs,,Rd,,,,,,,Apopka,,,Apopka,Orange,FL,32703,,,,,,2055.25,Meters,0,,Census2016TigerLines,2016,tlid,94378262,,,23,,N,,,,WEKIWA SPRINGS,,RD,,,,,,,,,,,,FL,32703,,,,,,23,,N,,,,WEKIWA SPRINGS,,RD,,,,,,,,,,,,FL,32703,,,,,
305 S  Highland Ave,,,32703,2,dc7f5181-87e5-4eb5-8e21-05c51018e704,0.2812621,TAMUGeocoder,5.0.0,1,,28.6743148906294,-81.505353,,StreetSegment,Match,100,,3079.92,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950177033,3033,3,0177.03,095,36740,0,90052,,5960,01700,12,201-305,,S,,,,Highland,,Ave,,,,,,,Apopka,,,Apopka,Orange,FL,32703,,,,,,3079.92,Meters,0,,Census2016TigerLines,2016,tlid,94262023,,,305,,S,,,,HIGHLAND,,AVE,,,,,,,,,,,,FL,32703,,,,,,305,,S,,,,HIGHLAND,,AVE,,,,,,,,,,,,FL,32703,,,,,
833 S ORANGE BLOSSOM TRL,,,32703,3,fd378756-63b8-486d-8c69-9883343a50db,0.2968515,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,833,,S,,,,ORANGE BLOSSOM,,TRL,,,,,,,,,,,,FL,32703,,,,,,833,,S,,,,ORANGE BLOSSOM,,TRL,,,,,,,,,,,,FL,32703,,,,,
1800 MARDEN RD,,,32703,4,08dca1bd-82b6-49ce-9322-64c8395f68b7,0.1249877,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,1800,,,,,,MARDEN,,RD,,,,,,,,,,,,FL,32703,,,,,,1800,,,,,,MARDEN,,RD,,,,,,,,,,,,FL,32703,,,,,
204 S CENTRAL AVE,,,32703,5,4d5b9397-9434-4992-99c5-d9012af10c06,0.1093723,TAMUGeocoder,5.0.0,1,,28.6754721339358,-81.5115693402897,,StreetSegment,Match,100,,3005.86,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950177033,3039,3,0177.03,095,36740,0,90052,,5960,01700,12,200-298,,S,,,,Central,,Ave,,,,,,,Apopka,,,Apopka,Orange,FL,32703,,,,,,3005.86,Meters,0,,Census2016TigerLines,2016,tlid,94261656,,,204,,S,,,,CENTRAL,,AVE,,,,,,,,,,,,FL,32703,,,,,,204,,S,,,,CENTRAL,,AVE,,,,,,,,,,,,FL,32703,,,,,
2484 Cobblefield Cir,,,32703,6,0cfd52fd-406c-4546-adde-f57c5442b2d2,0.0937479,TAMUGeocoder,5.0.0,1,,28.6423990072989,-81.4923618371363,,StreetSegment,Match,100,,7205.03,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1,ResidenceStreetAddress,120950175043,3003,3,0175.04,095,36740,0,90052,,5960,01700,12,2432-2498,,,,,,Cobblefield,,Cir,,,,,,,Apopka,,,Apopka,Orange,FL,32703,,,,,,7205.03,Meters,0,,Census2016TigerLines,2016,tlid,94368910,,,2484,,,,,,COBBLEFIELD,,CIR,,,,,,,,,,,,FL,32703,,,,,,2484,,,,,,COBBLEFIELD,,CIR,,,,,,,,,,,,FL,32703,,,,,
2505 E SEMORAN BLVD,,,32703,7,3b3d9200-dfd0-4d9a-80f8-790076a24be7,0.1249926,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,2505,,E,,,,SEMORAN,,BLVD,,,,,,,,,,,,FL,32703,,,,,,2505,,E,,,,SEMORAN,,BLVD,,,,,,,,,,,,FL,32703,,,,,
2334 E SEMORAN BLVD,,,32703,8,867d8184-fd8f-42fe-8052-3270b3bbe849,0.1406206,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,2334,,E,,,,SEMORAN,,BLVD,,,,,,,,,,,,FL,32703,,,,,,2334,,E,,,,SEMORAN,,BLVD,,,,,,,,,,,,FL,32703,,,,,
2295 E SEMORAN BLVD,,,32703,9,e6b9fe27-0fae-4d9c-80cf-c4116336c1e3,0.124993,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,2295,,E,,,,SEMORAN,,BLVD,,,,,,,,,,,,FL,32703,,,,,,2295,,E,,,,SEMORAN,,BLVD,,,,,,,,,,,,FL,32703,,,,,
201 South Park Ave,,,32703,10,7ffddb0a-344c-4063-bc83-db9264002368,0.1562328,TAMUGeocoder,5.0.0,1,,28.662448,-81.501094,,USPSZip,Non-Match,60,,147517929.52,Meters,09,AddressZIPCentroid,MMMMMMMMMMMMM1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},4,ResidenceZIP,120950176001,1032,1,0176.00,095,36740,0,90052,,5960,67163,12,,,,,,,,,,,,,,,,Apopka,,,,Orange,FL,32703,,,,,,147517929.52,Meters,0,,ZipCodeDownloadZips2013,2013,ZIPCode,32703,,,201,,S,,,,PARK,,AVE,,,,,,,,,,,,FL,32703,,,,,,201,,S,,,,PARK,,AVE,,,,,,,,,,,,FL,32703,,,,,
